listing_id,available,price,adjusted_price,minimum_nights,maximum_nights,listing_url,name,latitude,longitude,property_type,room_type,accomodates,bathrooms_text,bedrooms,beds,amenities,host_id,host_name,host_since,host_location,total_reviews
50904,0.0,166.67,158.67,1.0,60.0,https://www.airbnb.com/rooms/50904,aplace/antwerp: cosy suite - fashion district,51.218575,4.398631,Room in boutique hotel,Hotel room,2,1 private bath,1.0,1.0,"[""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Keypad"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Wifi"", ""Dishes and silverware"", ""Security cameras on property"", ""Clothing storage"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Molton Brown body soap"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Portable fans"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Fire extinguisher"", ""Bluetooth sound system"", ""Coffee maker"", ""Molton Brown shampoo"", ""Safe"", ""Hangers"", ""Cable TV"", ""TV with standard cable"", ""Shower gel""]",234077,Karin,2010-09-14,"Antwerp, Flanders, Belgium",2.0
891884,0.0,175.0,175.0,1.67,1125.0,https://www.airbnb.com/rooms/891884,aplace/antwerp: amazing suite & square view,51.218575,4.398631,Room in boutique hotel,Hotel room,2,1 private bath,1.0,1.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Keypad"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Wifi"", ""Dishes and silverware"", ""Security cameras on property"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Molton Brown body soap"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Fire extinguisher"", ""Coffee maker"", ""Molton Brown shampoo"", ""Safe"", ""Hangers"", ""Cable TV"", ""Air conditioning"", ""TV with standard cable""]",234077,Karin,2010-09-14,"Antwerp, Flanders, Belgium",2.0
891907,1.0,215.0,215.0,3.0,1125.0,https://www.airbnb.com/rooms/891907,aplace/antwerp: stunning flat with square view,51.218575,4.398631,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Keypad"", ""Stove"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Security cameras on property"", ""Baking sheet"", ""Toaster"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Molton Brown body soap"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Bathtub"", ""Portable fans"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Bluetooth sound system"", ""Dishwasher"", ""Coffee maker"", ""Patio or balcony"", ""Molton Brown shampoo"", ""Safe"", ""Record player"", ""Hangers"", ""Cable TV"", ""Clothing storage: closet"", ""TV with standard cable"", ""Shower gel""]",234077,Karin,2010-09-14,"Antwerp, Flanders, Belgium",6.0
2543695,1.0,200.0,200.0,2.0,1125.0,https://www.airbnb.com/rooms/2543695,aplace/antwerp: gorgeous flat with square view,51.218575,4.398631,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Keypad"", ""Stove"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Security cameras on property"", ""Baking sheet"", ""Toaster"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Pocket wifi"", ""Molton Brown body soap"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Bathtub"", ""Portable fans"", ""Extra pillows and blankets"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Dishwasher"", ""Coffee maker"", ""Molton Brown shampoo"", ""Safe"", ""Hangers"", ""Cable TV"", ""Clothing storage: closet"", ""TV with standard cable"", ""Shower gel""]",234077,Karin,2010-09-14,"Antwerp, Flanders, Belgium",15.0
116134,1.0,150.0,150.0,2.0,1125.0,https://www.airbnb.com/rooms/116134,Spacious apartment nearby Mas,51.23051,4.40593,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,2.0,"[""Refrigerator"", ""Elevator"", ""Paid street parking off premises"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Outdoor furniture"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Clothing storage: dresser, wardrobe, and closet"", ""Dishes and silverware"", ""Toaster"", ""Washer"", ""Window guards"", ""Freezer"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Waterfront"", ""Paid parking garage on premises \u2013 1 space"", ""Bathtub"", ""Room-darkening shades"", ""Portable fans"", ""First aid kit"", ""Wine glasses"", ""Drying rack for clothing"", ""Heating"", ""Hot water"", ""Private patio or balcony"", ""Private entrance"", ""Fire extinguisher"", ""Dishwasher"", ""Coffee maker"", ""Changing table"", ""Hangers"", ""Cable TV"", ""TV with standard cable"", ""Cleaning products""]",586942,Paul,2011-05-14,"Kapellen, Flanders, Belgium",120.0
218916,0.0,85.0,85.0,1.0,50.0,https://www.airbnb.com/rooms/218916,Apartment with terrace in trendy Zurenborg,51.20633,4.42942,Entire condominium (condo),Entire home/apt,5,1 bath,1.0,3.0,"[""Paid street parking off premises"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Smeg  oven"", ""Samsung  refrigerator"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Bed linens"", ""Freezer"", ""Body soap"", ""Iron"", ""Central heating"", ""Essentials"", ""Long term stays allowed"", ""Outdoor dining area"", ""Cleaning products"", ""Dining table"", ""Bathtub"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Portable fans"", ""First aid kit"", ""Wine glasses"", ""Clothing storage: walk-in closet"", ""Hot water"", ""Private patio or balcony"", ""High chair"", ""Fire extinguisher"", ""Coffee maker"", ""Hangers"", ""Shower gel""]",915664,Laura,2011-08-03,"Antwerp, Vlaams Gewest, Belgium",28.0
224333,1.0,16.0,16.0,14.0,365.0,https://www.airbnb.com/rooms/224333,Large stylish room in 1930s house + garden,51.19772,4.45853,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,"[""Fire extinguisher"", ""Backyard"", ""Long term stays allowed"", ""Kitchen"", ""Smoke alarm"", ""Outdoor furniture"", ""Washer"", ""Patio or balcony"", ""First aid kit"", ""Lock on bedroom door"", ""Wifi"", ""Heating""]",1167377,Geert,2011-09-16,"Antwerp, Flanders, Belgium",3.0
1172826,1.0,16.0,16.0,7.0,365.0,https://www.airbnb.com/rooms/1172826,Bedroom in large antique house near parks+trams,51.19813,4.45807,Private room in residential home,Private room,3,3 shared baths,1.0,2.0,"[""Refrigerator"", ""Fire extinguisher"", ""Backyard"", ""Long term stays allowed"", ""Kitchen"", ""Smoke alarm"", ""Outdoor furniture"", ""Washer"", ""Patio or balcony"", ""Stove"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Heating"", ""Dishes and silverware""]",1167377,Geert,2011-09-16,"Antwerp, Flanders, Belgium",6.0
224682,1.0,85.0,85.0,2.0,30.0,https://www.airbnb.com/rooms/224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,51.21722,4.3979,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wifi"", ""Dishes and silverware"", ""Bed linens"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Coffee maker"", ""Hangers""]",1263933,Kristien,2011-10-08,"Antwerp, Flanders, Belgium",349.0
345959,1.0,60.0,60.0,3.0,90.0,https://www.airbnb.com/rooms/345959,Marleen's home in Antwerp city,51.19935,4.40154,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,"[""Refrigerator"", ""Backyard"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Single level home"", ""Oven"", ""Cooking basics"", ""Wifi"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Fire extinguisher"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",1754396,Marleen,2012-02-15,"Lier, Vlaanderen, Belgium",65.0
