available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,join_age,no_of_bath
0.0,166.67,1.0,60.0,Hotel room,2,1.0,1.0,2.0,4241,1.0
0.0,175.0,1.67,1125.0,Hotel room,2,1.0,1.0,2.0,4241,1.0
1.0,215.0,3.0,1125.0,Entire home/apt,4,2.0,2.0,6.0,4241,1.5
1.0,200.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,15.0,4241,1.5
1.0,150.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,120.0,3999,2.5
0.0,85.0,1.0,50.0,Entire home/apt,5,1.0,3.0,28.0,3918,1.0
1.0,16.0,14.0,365.0,Private room,2,1.0,1.0,3.0,3874,2.0
1.0,16.0,7.0,365.0,Private room,3,1.0,2.0,6.0,3874,3.0
1.0,85.0,2.0,30.0,Entire home/apt,3,1.0,2.0,349.0,3852,1.0
1.0,60.0,3.0,90.0,Entire home/apt,3,2.0,2.0,65.0,3722,1.0
0.0,50.0,1.0,14.0,Entire home/apt,2,1.0,1.0,11.0,3722,1.0
1.0,68.0,6.0,365.0,Entire home/apt,2,1.0,1.0,22.0,3707,1.5
1.0,35.0,1.0,365.0,Private room,2,1.0,1.0,108.0,3710,0.5
1.0,195.0,2.0,21.0,Entire home/apt,4,1.0,2.0,2.0,3610,1.0
1.0,100.0,2.0,365.0,Entire home/apt,5,2.0,3.0,91.0,4049,1.0
0.0,85.0,2.0,4.0,Private room,2,1.0,1.0,34.0,3548,1.5
0.0,286.67,1.67,30.0,Entire home/apt,10,5.0,5.0,48.0,3548,2.0
0.0,85.0,2.0,4.0,Private room,2,1.0,1.0,1.0,3548,1.0
0.0,88.33,1.67,1125.0,Entire home/apt,2,1.0,1.0,68.0,3460,1.0
1.0,76.67,2.0,31.0,Entire home/apt,2,1.0,1.0,74.0,3726,1.0
1.0,93.0,7.0,1125.0,Entire home/apt,4,1.0,1.0,50.0,3548,1.5
1.0,150.0,7.0,1125.0,Entire home/apt,4,2.0,4.0,0.0,3548,1.0
1.0,140.0,7.0,1125.0,Entire home/apt,6,3.0,6.0,175.0,3548,1.0
0.0,93.0,7.0,1125.0,Entire home/apt,4,2.0,2.0,64.0,3548,1.5
1.0,90.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,5.0,3525,1.0
1.0,239.0,1.0,1125.0,Entire home/apt,6,2.0,3.0,85.0,3434,1.5
1.0,351.0,1.0,1125.0,Entire home/apt,8,4.0,4.0,134.0,3434,3.5
0.0,80.0,2.0,62.0,Entire home/apt,2,1.0,1.0,62.0,3387,1.5
0.0,80.0,2.0,60.0,Entire home/apt,2,1.0,1.0,65.0,3387,1.0
0.0,80.0,2.0,62.0,Entire home/apt,2,1.0,1.0,16.0,3387,1.0
